代码,公司,范围,板块,数据日期,最新价,涨跌幅,合理下限,合理上限,合理估值范围,估值状态,置信度,估值位置,趋势阶段,趋势条件,相对强弱,波动收缩,板块强弱,行动,入场条件,失效条件,原因
300308.SZ,中际旭创,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,886.96,0.025885401003955755,970.571515,1411.740386,971–1412,已审计估值区间,中等,合理偏低,第二阶段候选,6,95.0,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688008.SH,澜起科技,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,206.7,-0.0010632128358786241,149.502481,205.981195,150–206,已审计估值区间,中等,偏高观察,第二阶段候选,6,77.14285714285715,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
002371.SZ,北方华创,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,746.1,-0.018289473684210522,598.638961,773.241992,599–773,已审计估值区间,中等,合理区间,第二阶段确认,8,70.0,未形成,弱,观察,—,—,趋势较强，但波动收缩或板块条件不足
00522.HK,先进封装设备公司,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,166.2,-0.00776119402985076,125.0,175.0,125–175,低置信度研究区间,较低,合理区间,第二阶段候选,6,79.28571428571428,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688825.SH,长鑫科技,人工智能硬件,高带宽内存 / 存储 / 内存接口,2026-08-11,50.4,-0.01754385964912275,40.0,55.0,40.0–55.0,低置信度研究区间,较低,合理区间,历史不足,0,,暂不判断,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
601138.SH,工业富联,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,66.01,-0.04582249204972533,68.581318,99.061904,68.6–99.1,已审计估值区间,中等,合理偏低,整理过渡,5,75.71428571428571,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300502.SZ,新易盛,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,415.3,0.03928928928928932,616.869544,897.264791,617–897,已审计估值区间,中等,明显低估,第二阶段候选,6,87.85714285714286,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002463.SZ,沪电股份,人工智能硬件,人工智能服务器印制电路板 / 覆铜板,2026-08-11,121.0,-0.013854930725346382,100.674205,146.81655,101–147,已审计估值区间,中等,合理区间,第二阶段候选,7,73.57142857142858,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
601869.SH,长飞光纤,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,335.92,-0.020898306566789926,300.524,407.854,301–408,已审计估值区间,中等,合理区间,第二阶段候选,6,99.28571428571429,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
600183.SH,生益科技,人工智能硬件,人工智能服务器印制电路板 / 覆铜板,2026-08-11,135.3,-0.023598181424550613,93.958824,134.226891,94.0–134,已审计估值区间,中等,偏高观察,第二阶段候选,6,89.28571428571429,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
300394.SZ,天孚通信,人工智能硬件,人工智能网络 / 光互连 / 共封装光学,2026-08-11,222.49,-0.0024211989418463364,175.641721,268.628515,176–269,已审计估值区间,中等,合理区间,整理过渡,5,90.71428571428571,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
688041.SH,海光信息,人工智能硬件,人工智能芯片 / 专用芯片 / 端侧算力,2026-08-11,287.01,-0.011809668089794778,190.0,255.0,190–255,低置信度研究区间,较低,偏高观察,整理过渡,5,62.857142857142854,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688256.SH,寒武纪,人工智能硬件,人工智能芯片 / 专用芯片 / 端侧算力,2026-08-11,1090.64,-0.029679715302491028,945.180927,1361.060535,945–1361,已审计估值区间,中等,合理区间,第二阶段候选,6,76.42857142857142,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002916.SZ,深南电路,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,380.7,0.022287862513426404,242.287304,353.335652,242–353,已审计估值区间,中等,偏高观察,第二阶段候选,7,82.14285714285714,未形成,弱,观察,—,—,当前价格相对合理估值区间偏高
688012.SH,中微公司,人工智能硬件,先进制程 / 设备 / 材料 / 封装,2026-08-11,363.1,-0.06895048590989505,283.387549,401.465694,283–401,已审计估值区间,中等,合理区间,第二阶段候选,6,85.0,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
000977.SZ,浪潮信息,人工智能硬件,人工智能服务器 / 算力基础设施,2026-08-11,75.11,-0.020730117340286847,61.655405,89.057807,61.7–89.1,已审计估值区间,中等,合理区间,第二阶段候选,7,54.285714285714285,未形成,弱,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
